day_of_week,time,route,bus_stop,predicted_bus_load,wait_time_min
Monday,08:00,Campus Connector,Mount Hall (WB),0.811,10.0
Monday,08:00,Campus Connector,Carmack 5 (NB),0.84,10.0
Monday,08:00,Campus Connector,Carmack 5 (SB),0.817,10.0
Monday,08:00,Campus Connector,Research Center (SB),0.79,10.0
Monday,08:00,Campus Connector,Kinnear Rd Lot (EB),0.825,10.0
Monday,08:00,Campus Connector,Blankenship Hall (EB),0.801,10.0
Monday,08:00,Campus Connector,Midwest Campus (EB),0.871,10.0
Monday,08:00,Campus Connector,St. John Arena (EB),0.953,10.0
Monday,08:00,Campus Connector,Fontana Lab (EB),0.847,10.0
Monday,08:00,Campus Connector,Stillman Hall (SB),0.842,10.0
Monday,08:00,Campus Connector,Ohio Union (SB),0.909,10.0
Monday,08:00,Campus Connector,Siebert Hall (WB),0.901,10.0
Monday,08:00,Campus Connector,Mack Hall (NB),0.883,10.0
Monday,08:00,Campus Connector,Herrick Drive Transit Hub (NB),0.817,10.0
Monday,08:00,Campus Connector,11th & Worthington (EB),0.866,10.0
Monday,08:00,Campus Connector,Ohio Union (NB),0.902,10.0
Monday,08:00,Campus Connector,Arps Hall (NB),0.772,10.0
Monday,08:00,Campus Connector,Blackburn House (WB),0.816,10.0
Monday,08:00,Campus Connector,Mason Hall (WB),0.719,10.0
Monday,08:00,Campus Connector,St. John Arena (WB),0.745,10.0
Monday,08:00,Campus Connector,Midwest Campus (WB),0.701,10.0
Monday,08:00,Campus Loop South,Buckeye Lot (SB),0.641,15.0
Monday,08:00,Campus Loop South,Midwest Campus (EB),0.594,15.0
Monday,08:00,Campus Loop South,Mid Towers (SB),0.699,15.0
Monday,08:00,Campus Loop South,Herrick Drive Transit Hub (NB),0.702,15.0
Monday,08:00,Campus Loop South,11th & Worthington (EB),0.689,15.0
Monday,08:00,Campus Loop South,Ohio Union (NB),0.553,15.0
Monday,08:00,Campus Loop South,Arps Hall (NB),0.671,15.0
Monday,08:00,Campus Loop South,Blackburn House (WB),0.697,15.0
Monday,08:00,Campus Loop South,Mason Hall (WB),0.699,15.0
Monday,08:00,Campus Loop South,St. John Arena (WB),0.591,15.0
Monday,08:00,Campus Loop South,Midwest Campus (WB),0.641,15.0
Monday,08:00,Campus Loop South,Fred Taylor & Schottenstein Dr (NB),0.597,15.0
Monday,08:00,Buckeye Express,Buckeye Lot (SB),0.687,7.0
Monday,08:00,Buckeye Express,Midwest Campus (EB),0.815,7.0
Monday,08:00,Buckeye Express,St. John Arena (EB),0.716,7.0
Monday,08:00,Buckeye Express,Knowlton Hall (EB),0.774,7.0
Monday,08:00,Buckeye Express,Fontana Lab (EB),0.838,7.0
Monday,08:00,Buckeye Express,High St & 15th Ave (SB),0.755,7.0
Monday,08:00,Buckeye Express,Ohio Union (NB),0.785,7.0
Monday,08:00,Buckeye Express,Arps Hall (NB),0.797,7.0
Monday,08:00,Buckeye Express,Blackburn House (WB),0.789,7.0
Monday,08:00,Buckeye Express,Mason Hall (WB),0.703,7.0
Monday,08:00,Buckeye Express,St. John Arena (WB),0.769,7.0
Monday,08:00,Buckeye Express,Midwest Campus (WB),0.833,7.0
Monday,08:00,Buckeye Express,Fred Taylor & Schottenstein Dr (NB),0.643,7.0
Monday,08:00,East Residential,High St & 15th Ave (SB),0.62,15.0
Monday,08:00,East Residential,11th & High (EB),0.584,15.0
Monday,08:00,East Residential,Indianola Ave (EB),0.547,15.0
Monday,08:00,East Residential,Chittenden Ave (NB),0.713,15.0
Monday,08:00,East Residential,15th Ave (NB),0.645,15.0
Monday,08:00,East Residential,18th Ave (NB),0.533,15.0
Monday,08:00,East Residential,Alden Ave (NB),0.614,15.0
Monday,08:00,East Residential,Maynard Ave (NB),0.648,15.0
Monday,08:00,East Residential,Tompkins St (SB),0.604,15.0
Monday,08:00,East Residential,Maynard Ave (SB),0.657,15.0
Monday,08:00,East Residential,Alden Ave (SB),0.611,15.0
Monday,08:00,East Residential,Lane Ave (SB),0.653,15.0
Monday,08:00,East Residential,18th Ave (SB),0.696,15.0
Monday,08:00,East Residential,15th Ave (SB),0.565,15.0
Monday,08:00,East Residential,Chittenden Ave (SB),0.612,15.0
Monday,08:00,East Residential,Indianola Ave (WB),0.565,15.0
Monday,08:00,East Residential,11th & High (WB),0.593,15.0
Monday,08:00,East Residential,Ohio Union (NB),0.506,15.0
Monday,08:00,East Residential,Arps Hall (NB),0.534,15.0
Monday,08:00,Med Center,Carmack 2 (SB),0.618,10.0
Monday,08:00,Med Center,Carmack 3 (NB),0.706,10.0
Monday,08:00,Med Center,Carmack 5 (NB),0.729,10.0
Monday,08:00,Med Center,Carmack 5 (SB),0.573,10.0
Monday,08:00,Med Center,Herrick Drive Transit Hub (NB),0.582,10.0
Monday,08:00,Northwest Connector,Stores & Receiving (SB),0.532,30.0
Monday,08:00,Northwest Connector,Service Annex (WB),0.386,30.0
Monday,08:00,Northwest Connector,Mount Hall (EB),0.488,30.0
Monday,08:00,Northwest Connector,Blankenship Hall (EB),0.518,30.0
Monday,08:00,Northwest Connector,Midwest Campus (EB),0.603,30.0
Monday,08:00,Northwest Connector,Mid Towers (SB),0.569,30.0
Monday,08:00,Northwest Connector,Herrick Drive Transit Hub (NB),0.504,30.0
Monday,08:00,Northwest Connector,Mid Towers (NB),0.494,30.0
Monday,08:00,Northwest Connector,Midwest Campus (WB),0.491,30.0
Monday,08:00,Northwest Connector,Fisher Commons (NB),0.585,30.0
Monday,09:00,Campus Connector,Mount Hall (WB),0.481,10.0
Monday,09:00,Campus Connector,Carmack 5 (NB),0.496,10.0
Monday,09:00,Campus Connector,Carmack 5 (SB),0.542,10.0
Monday,09:00,Campus Connector,Research Center (SB),0.52,10.0
Monday,09:00,Campus Connector,Kinnear Rd Lot (EB),0.521,10.0
Monday,09:00,Campus Connector,Blankenship Hall (EB),0.471,10.0
Monday,09:00,Campus Connector,Midwest Campus (EB),0.541,10.0
Monday,09:00,Campus Connector,St. John Arena (EB),0.519,10.0
Monday,09:00,Campus Connector,Fontana Lab (EB),0.618,10.0
Monday,09:00,Campus Connector,Stillman Hall (SB),0.589,10.0
Monday,09:00,Campus Connector,Ohio Union (SB),0.549,10.0
Monday,09:00,Campus Connector,Siebert Hall (WB),0.59,10.0
Monday,09:00,Campus Connector,Mack Hall (NB),0.528,10.0
Monday,09:00,Campus Connector,Herrick Drive Transit Hub (NB),0.609,10.0
Monday,09:00,Campus Connector,11th & Worthington (EB),0.542,10.0
Monday,09:00,Campus Connector,Ohio Union (NB),0.573,10.0
Monday,09:00,Campus Connector,Arps Hall (NB),0.455,10.0
Monday,09:00,Campus Connector,Blackburn House (WB),0.548,10.0
Monday,09:00,Campus Connector,Mason Hall (WB),0.419,10.0
Monday,09:00,Campus Connector,St. John Arena (WB),0.392,10.0
Monday,09:00,Campus Connector,Midwest Campus (WB),0.489,10.0
Monday,09:00,Campus Loop South,Buckeye Lot (SB),0.356,15.0
Monday,09:00,Campus Loop South,Midwest Campus (EB),0.428,15.0
Monday,09:00,Campus Loop South,Mid Towers (SB),0.561,15.0
Monday,09:00,Campus Loop South,Herrick Drive Transit Hub (NB),0.383,15.0
Monday,09:00,Campus Loop South,11th & Worthington (EB),0.4,15.0
Monday,09:00,Campus Loop South,Ohio Union (NB),0.452,15.0
Monday,09:00,Campus Loop South,Arps Hall (NB),0.469,15.0
Monday,09:00,Campus Loop South,Blackburn House (WB),0.427,15.0
Monday,09:00,Campus Loop South,Mason Hall (WB),0.421,15.0
Monday,09:00,Campus Loop South,St. John Arena (WB),0.469,15.0
Monday,09:00,Campus Loop South,Midwest Campus (WB),0.45,15.0
Monday,09:00,Campus Loop South,Fred Taylor & Schottenstein Dr (NB),0.348,15.0
Monday,09:00,Buckeye Express,Buckeye Lot (SB),0.455,7.0
Monday,09:00,Buckeye Express,Midwest Campus (EB),0.472,7.0
Monday,09:00,Buckeye Express,St. John Arena (EB),0.415,7.0
Monday,09:00,Buckeye Express,Knowlton Hall (EB),0.501,7.0
Monday,09:00,Buckeye Express,Fontana Lab (EB),0.439,7.0
Monday,09:00,Buckeye Express,High St & 15th Ave (SB),0.552,7.0
Monday,09:00,Buckeye Express,Ohio Union (NB),0.507,7.0
Monday,09:00,Buckeye Express,Arps Hall (NB),0.499,7.0
Monday,09:00,Buckeye Express,Blackburn House (WB),0.455,7.0
Monday,09:00,Buckeye Express,Mason Hall (WB),0.478,7.0
Monday,09:00,Buckeye Express,St. John Arena (WB),0.358,7.0
Monday,09:00,Buckeye Express,Midwest Campus (WB),0.402,7.0
Monday,09:00,Buckeye Express,Fred Taylor & Schottenstein Dr (NB),0.482,7.0
Monday,09:00,East Residential,High St & 15th Ave (SB),0.228,15.0
Monday,09:00,East Residential,11th & High (EB),0.412,15.0
Monday,09:00,East Residential,Indianola Ave (EB),0.261,15.0
Monday,09:00,East Residential,Chittenden Ave (NB),0.416,15.0
Monday,09:00,East Residential,15th Ave (NB),0.324,15.0
Monday,09:00,East Residential,18th Ave (NB),0.425,15.0
Monday,09:00,East Residential,Alden Ave (NB),0.389,15.0
Monday,09:00,East Residential,Maynard Ave (NB),0.291,15.0
Monday,09:00,East Residential,Tompkins St (SB),0.46,15.0
Monday,09:00,East Residential,Maynard Ave (SB),0.472,15.0
Monday,09:00,East Residential,Alden Ave (SB),0.381,15.0
Monday,09:00,East Residential,Lane Ave (SB),0.367,15.0
Monday,09:00,East Residential,18th Ave (SB),0.372,15.0
Monday,09:00,East Residential,15th Ave (SB),0.32,15.0
Monday,09:00,East Residential,Chittenden Ave (SB),0.441,15.0
Monday,09:00,East Residential,Indianola Ave (WB),0.338,15.0
Monday,09:00,East Residential,11th & High (WB),0.363,15.0
Monday,09:00,East Residential,Ohio Union (NB),0.313,15.0
Monday,09:00,East Residential,Arps Hall (NB),0.318,15.0
Monday,09:00,Med Center,Carmack 2 (SB),0.317,10.0
Monday,09:00,Med Center,Carmack 3 (NB),0.483,10.0
Monday,09:00,Med Center,Carmack 5 (NB),0.403,10.0
Monday,09:00,Med Center,Carmack 5 (SB),0.465,10.0
Monday,09:00,Med Center,Herrick Drive Transit Hub (NB),0.395,10.0
Monday,09:00,Northwest Connector,Stores & Receiving (SB),0.267,30.0
Monday,09:00,Northwest Connector,Service Annex (WB),0.297,30.0
Monday,09:00,Northwest Connector,Mount Hall (EB),0.289,30.0
Monday,09:00,Northwest Connector,Blankenship Hall (EB),0.328,30.0
Monday,09:00,Northwest Connector,Midwest Campus (EB),0.307,30.0
Monday,09:00,Northwest Connector,Mid Towers (SB),0.312,30.0
Monday,09:00,Northwest Connector,Herrick Drive Transit Hub (NB),0.245,30.0
Monday,09:00,Northwest Connector,Mid Towers (NB),0.274,30.0
Monday,09:00,Northwest Connector,Midwest Campus (WB),0.415,30.0
Monday,09:00,Northwest Connector,Fisher Commons (NB),0.268,30.0
Monday,10:00,Campus Connector,Mount Hall (WB),0.038,10.0
Monday,10:00,Campus Connector,Carmack 5 (NB),0.123,10.0
Monday,10:00,Campus Connector,Carmack 5 (SB),0.189,10.0
Monday,10:00,Campus Connector,Research Center (SB),0.018,10.0
Monday,10:00,Campus Connector,Kinnear Rd Lot (EB),0.094,10.0
Monday,10:00,Campus Connector,Blankenship Hall (EB),0.07,10.0
Monday,10:00,Campus Connector,Midwest Campus (EB),0.003,10.0
Monday,10:00,Campus Connector,St. John Arena (EB),0.153,10.0
Monday,10:00,Campus Connector,Fontana Lab (EB),0.108,10.0
Monday,10:00,Campus Connector,Stillman Hall (SB),0.114,10.0
Monday,10:00,Campus Connector,Ohio Union (SB),0.065,10.0
Monday,10:00,Campus Connector,Siebert Hall (WB),0.137,10.0
Monday,10:00,Campus Connector,Mack Hall (NB),0.077,10.0
Monday,10:00,Campus Connector,Herrick Drive Transit Hub (NB),0.101,10.0
Monday,10:00,Campus Connector,11th & Worthington (EB),0.042,10.0
Monday,10:00,Campus Connector,Ohio Union (NB),0.035,10.0
Monday,10:00,Campus Connector,Arps Hall (NB),0.187,10.0
Monday,10:00,Campus Connector,Blackburn House (WB),0.075,10.0
Monday,10:00,Campus Connector,Mason Hall (WB),0.122,10.0
Monday,10:00,Campus Connector,St. John Arena (WB),0.101,10.0
Monday,10:00,Campus Connector,Midwest Campus (WB),0.075,10.0
Monday,10:00,Campus Loop South,Buckeye Lot (SB),0.051,15.0
Monday,10:00,Campus Loop South,Midwest Campus (EB),0.122,15.0
Monday,10:00,Campus Loop South,Mid Towers (SB),0.067,15.0
Monday,10:00,Campus Loop South,Herrick Drive Transit Hub (NB),0.077,15.0
Monday,10:00,Campus Loop South,11th & Worthington (EB),0.089,15.0
Monday,10:00,Campus Loop South,Ohio Union (NB),0.159,15.0
Monday,10:00,Campus Loop South,Arps Hall (NB),0.129,15.0
Monday,10:00,Campus Loop South,Blackburn House (WB),0.11,15.0
Monday,10:00,Campus Loop South,Mason Hall (WB),0.053,15.0
Monday,10:00,Campus Loop South,St. John Arena (WB),0.002,15.0
Monday,10:00,Campus Loop South,Midwest Campus (WB),0.141,15.0
Monday,10:00,Campus Loop South,Fred Taylor & Schottenstein Dr (NB),0.14,15.0
Monday,10:00,Buckeye Express,Buckeye Lot (SB),0.084,7.0
Monday,10:00,Buckeye Express,Midwest Campus (EB),0.126,7.0
Monday,10:00,Buckeye Express,St. John Arena (EB),0.142,7.0
Monday,10:00,Buckeye Express,Knowlton Hall (EB),0.147,7.0
Monday,10:00,Buckeye Express,Fontana Lab (EB),0.153,7.0
Monday,10:00,Buckeye Express,High St & 15th Ave (SB),0.071,7.0
Monday,10:00,Buckeye Express,Ohio Union (NB),0.19,7.0
Monday,10:00,Buckeye Express,Arps Hall (NB),0.024,7.0
Monday,10:00,Buckeye Express,Blackburn House (WB),0.15,7.0
Monday,10:00,Buckeye Express,Mason Hall (WB),0.127,7.0
Monday,10:00,Buckeye Express,St. John Arena (WB),0.148,7.0
Monday,10:00,Buckeye Express,Midwest Campus (WB),0.207,7.0
Monday,10:00,Buckeye Express,Fred Taylor & Schottenstein Dr (NB),0.181,7.0
Monday,10:00,East Residential,High St & 15th Ave (SB),0.002,15.0
Monday,10:00,East Residential,11th & High (EB),0.0,15.0
Monday,10:00,East Residential,Indianola Ave (EB),0.122,15.0
Monday,10:00,East Residential,Chittenden Ave (NB),0.013,15.0
Monday,10:00,East Residential,15th Ave (NB),0.074,15.0
Monday,10:00,East Residential,18th Ave (NB),0.126,15.0
Monday,10:00,East Residential,Alden Ave (NB),0.0,15.0
Monday,10:00,East Residential,Maynard Ave (NB),0.0,15.0
Monday,10:00,East Residential,Tompkins St (SB),0.092,15.0
Monday,10:00,East Residential,Maynard Ave (SB),0.08,15.0
Monday,10:00,East Residential,Alden Ave (SB),0.062,15.0
Monday,10:00,East Residential,Lane Ave (SB),0.079,15.0
Monday,10:00,East Residential,18th Ave (SB),0.025,15.0
Monday,10:00,East Residential,15th Ave (SB),0.0,15.0
Monday,10:00,East Residential,Chittenden Ave (SB),0.065,15.0
Monday,10:00,East Residential,Indianola Ave (WB),0.016,15.0
Monday,10:00,East Residential,11th & High (WB),0.0,15.0
Monday,10:00,East Residential,Ohio Union (NB),0.103,15.0
Monday,10:00,East Residential,Arps Hall (NB),0.067,15.0
Monday,10:00,Med Center,Carmack 2 (SB),0.103,10.0
Monday,10:00,Med Center,Carmack 3 (NB),0.022,10.0
Monday,10:00,Med Center,Carmack 5 (NB),0.043,10.0
Monday,10:00,Med Center,Carmack 5 (SB),0.022,10.0
Monday,10:00,Med Center,Herrick Drive Transit Hub (NB),0.026,10.0
Monday,10:00,Northwest Connector,Stores & Receiving (SB),0.073,30.0
